_1,_2
"Fort Collins/Loveland, CO",1.109830137234428
"Culebra, PR",1.1008389576607835
"Columbia, MO",1.0887255596117837
"Port Armstrong, AK",1.0850913282686598
"Stevens Village, AK",1.078425906938456
"Mountain View, CA",1.06610642032254
"Telluride, CO",1.059299961736646
"Westhampton, NY",1.0482483835913432
"Mosinee, WI",1.024365382196194
"Charleston/Dunbar, WV",1.0157759306853955
"Killeen, TX",0.9878071654242824
"Scranton/Wilkes-Barre, PA",0.9583440176576611
"Lopez Island, WA",0.9526786789567641
"Hilton Head, SC",0.9495858026263333
"Fort Dix, NJ",0.9072542406598616
"Kennesaw, GA",0.9058381489327635
"La Crosse, WI",0.8937782377589597
"Craig, AK",0.8655478833449128
"Hollis, AK",0.8655478833449128
"Hyder, AK",0.8655478833449128
"Salinas/Monterey, CA",0.8651441587273587
"Saginaw/Bay City/Midland, MI",0.8643535887681535
"Fayetteville, NC",0.8640542752167644
"Alpine, AK",0.8598504022567557
"Farmington, NM",0.8448149711812785
"Truckee, CA",0.8409196814962279
"San Angelo, TX",0.8407623698857233
"Prescott, AZ",0.8405841259617968
"Roswell, NM",0.8405138457588435
"Broomfield, CO",0.8365938641705586
"Erie, PA",0.831332007800063
"Rhinelander, WI",0.8242547964514516
"Chicken, AK",0.814593167478431
"Destin, FL",0.8017457010041295
"Minto, AK",0.7988747661099409
"Beckley, WV",0.7986553489150081
"Taos, NM",0.7954386339411597
"Lafayette, IN",0.7827220992525438
"Iron Mountain/Kingsfd, MI",0.780334501516656
"Pittsfield, MA",0.7778890682209586
"Latrobe, PA",0.7757798845224017
"Marana, AZ",0.7679471240942028
"Pedro Bay, AK",0.7541406521343642
"Michellville, MD",0.7432260252410566
"Terre Haute, IN",0.7383578698386585
"Grand Island, NE",0.73275206701214
"Vero Beach, FL",0.7316502156375676
"Brunswick, GA",0.7264196215707627
"Dubuque, IA",0.716846122687394
"Grand Forks, ND",0.7064157599889205
"Manhattan/Ft. Riley, KS",0.7036855750399368
"Devils Lake, ND",0.7000271607393842
"Liberal, KS",0.6990835216071865
"Nelson Lagoon, AK",0.6861940153701943
"Parkersburg, WV",0.681438811545909
"Butte, MT",0.6758631653822934
"Muscle Shoals, AL",0.6735019630700817
"Tin City, AK",0.6643336879039439
"Abilene, TX",0.6588026390366112
"New Haven, CT",0.6587798200111082
"Bridgeport, CT",0.6525134828438869
"Santa Fe, NM",0.6502831956757893
"Elmira/Corning, NY",0.6487793940902291
"Lewiston, ID",0.6393995338372072
"Gallup, NM",0.6393296091713713
"Jacksonville/Camp Lejeune, NC",0.629508115083401
"Cheyenne, WY",0.628416293726521
"Worcester, MA",0.6283021958981135
"Gaylord, MI",0.6198655706846178
"Waco, TX",0.613325541963125
